	pval	sigma2	beta	within_variance	shared_beta	selection	Vg	average_ED	average_Vm	color	weight	Vg/Vm
Cre02.g142800	0.0226676615180951	34.5963395218881	0.631149214437215	21.835452511642846	24.8057395401286	directional	0.091105171598184	0.0591969149566617	0.0015178325125797	red	0.5	60.02320469690173
Cre02.g143050	2.13336891309822e-12	97.8527509354343	0.03157132500751	3.089341002661524	24.8057395401286	directional	0.1842898347597414	0.1010725542913231	0.0017705936136737	red	2.0	104.0836436642112
Cre02.g143200	0.085072204490552	5.79337454547721	0.989572181758283	5.732962288710784	24.8057395401286	stabilizing	0.1917834460532924	0.0821012641616779	0.0019487724961493	lightgrey	0.1	98.4124347158271
Cre02.g143250	0.0049364431200228	46.420050018591	0.185093149373099	8.59203325199779	24.8057395401286	directional	0.1011095743400033	0.0467397593389409	0.0016371445305131	red	1.0	61.75971177591413
Cre02.g143850	0.128968260383164	36.5855382044272	0.715532409232397	26.1781382944777	24.8057395401286	stabilizing	0.1212690200066118	0.1418246072654951	0.0015937708144721	lightgrey	0.1	76.08937176251366
Cre02.g144005	0.010304841368064	50.1352614301199	0.533163553267443	26.730294128074913	24.8057395401286	directional	0.2638857919413195	0.0879885009755607	0.0014712930237479	red	0.5	179.35638087177884
Cre16.g695700	0.000158882145805	172.413529195167	0.282047055446576	48.628728228649116	24.8057395401286	directional	0.9469359744575584	0.1501426562951848	0.001515779145551	red	1.5	624.7189620182684
Cre16.g695500	0.4374213342315	212.846170045035	2.61970588844976	557.5943650009572	24.8057395401286	stabilizing	0.059533837064674	0.0827453840492827	0.0018325073989801	lightgrey	1.1	32.48763802962441
Cre16.g694850	0.173293849328449	17.018798273314	1.63135037367091	27.763622922600636	24.8057395401286	stabilizing	0.2421717307028286	0.0947592920412949	0.0019918464310964	lightgrey	0.1	121.58152703043808
Cre16.g694202	0.0077570967744001	43.5917524224304	0.763143091385632	33.26674470257065	24.8057395401286	directional	0.6716796463365012	0.1403436912843249	0.0016114763807681	red	1.0	416.81010925915615
Cre16.g694204	0.003379388251574	7.49909810801418	0.604929674515883	4.536426977643692	24.8057395401286	directional	0.276624654697329	0.1202994391032979	0.0019056629338056	red	1.0	145.15927753546157
Cre14.g629050	0.0137673825153535	734.040990550608	0.215610332119225	158.26682176174148	24.8057395401286	directional	1.661317458792234	0.253801663688266	0.0013673301170341	red	0.5	1215.0083129857676
Cre14.g629200	0.0455775253986727	8.91257088773824	1.02971692859864	9.177425120439477	24.8057395401286	directional	0.7554866678895465	0.1639878465365578	0.0010907156095127	red	0.0	692.6522929538672
Cre14.g629600	0.11193854972896	43.6183419160347	1.2123872188345	52.882320245753604	24.8057395401286	stabilizing	0.8586464812268398	0.0785849314564261	0.0016680724388215	lightgrey	0.1	514.7537128744103
Cre14.g629700	0.108823360562748	25.1672190762514	1.19637810341543	30.109509826686278	24.8057395401286	stabilizing	0.1374224399754686	0.1039790142709621	0.0001904665271941	lightgrey	0.1	721.5044133997602
Cre14.g629920	0.000370107832875	78.7022732161026	0.421295597208266	33.15692119622606	24.8057395401286	directional	1.2201242582218066	0.1887599234092601	0.0017906933313776	red	1.5	681.3697448033448
Cre14.g630100	0.0001183387522589	12.0854395096038	0.343142468220639	4.1470275428566765	24.8057395401286	directional	0.1484039353756224	0.0610934915247822	0.0011246444521248	red	2.0	131.95631303319163
Cre14.g630883	0.0519770908768279	129.04510253106	0.598391098430368	77.21944065062046	24.8057395401286	stabilizing	0.4033707186726684	0.0703054670131977	0.0016336262301816	lightgrey	0.1	246.91738613172745
Cre14.g630847	0.103430059577003	631.640205386569	0.865463396218807	546.6614773422049	24.8057395401286	stabilizing	0.4096915372958628	0.0934123233128473	0.00126563900472	lightgrey	0.1	323.70331174053825
Cre14.g630823	0.0551064970181879	54.3154074376672	0.828005695253697	44.97346669841345	24.8057395401286	stabilizing	0.3511456127674914	0.071106014625155	0.0013002282038102	lightgrey	0.1	270.0646023048041
Cre14.g631550	0.00912081873026	24.5913493217695	0.658266610159494	16.187664157289177	24.8057395401286	directional	0.5504574702273101	0.0812124566973155	0.0012396715511603	red	0.5	444.03492982644985
Cre14.g631900	0.002658986760366	24.9805285954359	0.42663171441043	10.65748574154959	24.8057395401286	directional	0.3600519850460397	0.102719331977287	0.0011453359981107	red	1.0	314.3636327156109
Cre14.g632400	0.166848917456367	8.27469145651942	1.55233511236559	12.845094091946661	24.8057395401286	stabilizing	0.5791095317965101	0.1211603613354878	0.001723145020784	lightgrey	0.1	336.0770711759511
Cre14.g632767	0.0004854335192908	24.5660319342546	0.455697810904257	11.194686975043892	24.8057395401286	directional	0.7839821367244989	0.155632093104749	0.0016592532071662	red	1.5	472.4909575817206
Cre14.g632775	0.0122546968699152	11.5592958937678	0.673938222320274	7.790251325919914	24.8057395401286	directional	0.0691350194319242	0.1022099748212774	0.0020895747950496	red	0.5	33.08568786133504
Cre14.g633550	0.380911938943211	248.143394416488	1.7457569124939	433.1980460922842	24.8057395401286	stabilizing	0.1515840922670798	0.0902693391896628	0.0013806532932953	lightgrey	0.6	109.79156968892866
Cre04.g217934	0.31482226009887	102.82006342929	2.42141893649745	248.97044863955173	24.8057395401286	stabilizing	0.4108398166823706	0.0940537681348203	0.0011015609250042	lightgrey	0.6	372.9615015899407
Cre04.g217915	7.19161299390896e-05	345.895163366483	0.213717128587659	73.92372110704397	24.8057395401286	directional	0.6802021795548804	0.2222054331021215	0.001134464949788	red	2.0	599.5797223016818
Cre04.g217914	0.156620360332825	6.83460326170061	1.81152925547215	12.381083758116034	24.8057395401286	stabilizing	0.2355682268869458	0.0999248623463252	0.0010702525511747	lightgrey	0.1	220.10527013309908
Cre04.g217906	0.191651827969547	9.45276498432118	1.95064239264184	18.43896410609727	24.8057395401286	stabilizing	0.7221816066643592	0.0866319327194908	0.0008594278477078	lightgrey	0.1	840.3051036692685
Cre04.g800432	0.0424678513106084	42.3370777051974	0.959654148485781	40.628952254557554	24.8057395401286	directional	0.2767913431389506	0.090225872004339	0.0012487574131063	red	0.0	221.6534134123205
Cre04.g216950	0.0691816221906246	36.5153548120647	0.984631157212046	35.954156064611716	24.8057395401286	stabilizing	0.3515130372628738	0.148586741562111	0.0014400262764294	lightgrey	0.1	244.10182162402185
Cre04.g216600	0.0633502555866561	18.799518108313	0.322099674474762	6.05531866297001	24.8057395401286	stabilizing	0.0557647373219534	0.0549405765494547	0.0013201870491547	lightgrey	0.1	42.24002754583822
Cre04.g213761	0.0002374687275812	426.703583605912	0.104298217649023	44.504423234547495	24.8057395401286	directional	0.2414759773595221	0.2148983796908329	0.0009444178829751	red	1.5	255.6876375517433
Cre16.g676645	0.0315034923674654	15.8239054124041	0.746857682359142	11.81820532217841	24.8057395401286	directional	0.4484622066805562	0.048867725762194	0.0011416933231893	red	0.0	392.804440186954
Cre16.g679669	0.0195837070607633	54.509248389857	0.716160837398172	39.03738897282495	24.8057395401286	directional	0.5280311009846775	0.1525832092625939	0.0011374807257231	red	0.5	464.2110314871547
Cre16.g680005	0.682011478379048	61.6794944186668	1.44361169447776	89.04123945226311	24.8057395401286	stabilizing	0.9213182422629868	0.1311726150271536	0.0016511650869582	lightgrey	2.1	557.9806946864728
Cre16.g680454	0.39130055505179	14.2866468024553	2.48250682399649	35.466698179122915	24.8057395401286	stabilizing	0.5703269806330916	0.1338478837029459	0.0018311856138793	lightgrey	0.6	311.4523051679478
Cre16.g681126	0.321438030510859	64.0346490702291	1.93564626524767	123.94842931923414	24.8057395401286	stabilizing	0.1694810901290067	0.0613045368788987	0.0016491285716731	lightgrey	0.6	102.77008902772332
Cre16.g681238	0.015816248942531	28.266181914762	0.420801442688734	11.894450129034052	24.8057395401286	directional	0.1347614741596892	0.140986940580177	0.001521285435842	red	0.5	88.5839507725922
Cre16.g683371	0.0001202653030844	50.3100693949337	0.213302679414826	10.731272603485191	24.8057395401286	directional	0.0985264612377464	0.0974843131236405	0.0013138254252675	red	2.0	74.9920494328126
Cre16.g684267	0.0881582123607584	8.4633718698146	1.40128735669464	11.859615996176274	24.8057395401286	stabilizing	0.7256945000258671	0.1011797378000731	0.0010730851316645	lightgrey	0.1	676.269271292779
Cre16.g685277	0.0825496685788433	37.157023425332	0.688845743067774	25.59545741160951	24.8057395401286	stabilizing	0.1780520769589866	0.0693658464728375	0.0018439662482658	lightgrey	0.1	96.55929284304402
Cre16.g685501	0.0083049519550934	63.6610489389463	0.359515950337728	22.887162508781888	24.8057395401286	directional	0.4302154215841661	0.1770763622736987	0.0009904085790002	red	1.0	434.3817599181754
Cre16.g687182	0.455713208099814	13.0985434655983	2.69578952734454	35.31091629802716	24.8057395401286	stabilizing	0.7184535167174702	0.1526545050451264	0.0014473440638932	lightgrey	1.1	496.39441971033995
Cre16.g687406	0.012587477850603	67.7194860341143	0.248954053417609	16.859040543549916	24.8057395401286	directional	0.185775349913053	0.1417752074797642	0.0019458413352278	red	0.5	95.47302061568358
Cre16.g687518	0.0980713440632569	39.7622358905005	0.455423382603481	18.108651969129273	24.8057395401286	stabilizing	0.1952328795730731	0.0477985421118644	0.0017203457564327	lightgrey	0.1	113.48467530033437
Cre16.g687966	0.0068726382567035	28.6334309464797	0.697119122343686	19.960912251098467	24.8057395401286	directional	0.609962538350564	0.1829857943228172	0.0013370259321212	red	1.0	456.2084576645829
Cre16.g689087	0.272570720800311	5.30766553539926	1.61447569076962	8.569096981637825	24.8057395401286	stabilizing	0.3532428305641975	0.0640217182862104	0.0015438861033034	lightgrey	0.6	228.80109472348764
Cre16.g689871	0.0077944879221853	24.2373664208316	0.610062507412709	14.78630853177312	24.8057395401286	directional	0.2705839947000791	0.1138943846583174	0.001353643684441	red	1.0	199.89307216530864
Cre16.g690319	5.04599923686462e-06	14.3509382358746	0.0968592826369335	1.3900215826937536	24.8057395401286	directional	0.2504102187877342	0.1278630359717533	0.0010176446824899	red	2.0	246.06841965218
Cre16.g690431	8.45056319970929e-05	22.2345414352542	0.357741444980078	7.954216981517255	24.8057395401286	directional	0.1860666354112237	0.1044733588694947	0.0020428151391247	red	2.0	91.08344257275724
Cre16.g690991	0.167348179306056	7.93448613595615	1.41167749178824	11.200935487035142	24.8057395401286	stabilizing	0.2837515567037186	0.0575144231327965	0.0010482925067207	lightgrey	0.1	270.6797529168254
Cre16.g691103	6.14356616503022e-09	36.1911549727356	0.100381020658249	3.6329050749640635	24.8057395401286	directional	0.1419372278331736	0.0827138737683693	0.0009610972274782	red	2.0	147.68248599114088
Cre16.g691440	0.275620610914925	7.28578285338001	2.35965216764203	17.191913302947277	24.8057395401286	stabilizing	0.3579604365569802	0.0945192505159926	0.0014661523088855	lightgrey	0.6	244.149556896367
Cre16.g691776	0.0070187175843735	60.0984026920419	0.31819061717755	19.122747843965744	24.8057395401286	directional	0.3491874745002253	0.1708570441575486	0.0014128749944103	red	1.0	247.14675812205718
