MALA	JG05	k0	k4	sites
Mal24_g14805	JG24_g143	0.0491648156231382	0.22747588910697406	2361
Mal24_g14804	JG24_g144	0.1717793860210607	0.7744907406572341	765
Mal24_g14803	JG24_g146	0.1441713349893882	0.4635690107980858	1862
Mal24_g14802	JG24_g148	0.2571347238557042	0.7502636146686998	4393
Mal24_g14800	JG24_g149	0.0491979618643599	0.361689188491451	1577
Mal24_g14799	JG24_g150	0.1034679302690895	0.5953666350737916	2818
Mal24_g14798	JG24_g151	0.3040988310811232	0.8347249515898446	2109
Mal24_g14797	JG24_g152	0.0510897857225814	0.3216434907621525	3290
Mal24_g14796	JG24_g153	0.1773642087055841	0.5190464949439938	1444
Mal24_g14795	JG24_g154	0.040687942312311	0.4408399986765892	468
Mal24_g14793	JG24_g155	0.0684781894873625	0.47870292775058343	592
Mal24_g14792	JG24_g158	0.3445815361142698	0.5954639097614332	1445
Mal24_g14791	JG24_g159	0.3854643021683001	0.8479612648157127	3673
Mal24_g14790	JG24_g160	0.1435062811150038	0.5653288517822852	367
Mal24_g14789	JG24_g161	0.0420425295612464	0.4570568466864635	893
Mal24_g14788	JG24_g162	0.0289192452027622	0.3401057454708937	1936
Mal24_g14787	JG24_g163	0.0309322189005368	0.42025551622002855	682
Mal24_g14786	JG24_g164	0.0139409218260681	0.18848582121067953	4920
Mal24_g14785	JG24_g165	0.021793300859657	0.456384596564427	639
Mal24_g14784	JG24_g166	0.217401616221335	0.534507605686072	1168
Mal24_g14783	JG24_g167	0.2015296282445814	0.9094609511134404	2499
Mal24_g14782	JG24_g168	0.1325199402525544	0.4953644131360855	1221
Mal24_g14781	JG24_g169	0.1098450556329672	0.5373030320431594	1100
Mal24_g14780	JG24_g170	0.0725608288383501	0.40450313002769694	5985
Mal24_g14778	JG24_g172	0.1523301721468537	0.5481656314070942	2899
Mal24_g14777	JG24_g173	0.1168947280558485	0.5340659279646978	3452
Mal24_g14776	JG24_g176	0.5268611731711641	0.8732920643871176	3278
Mal24_g14775	JG24_g179	0.1015477654775779	0.42978716706196685	7867
Mal24_g14774	JG24_g180	0.2433618468009989	0.6456430426296269	1262
Mal24_g14773	JG24_g181	0.1009575007144133	0.4298392776223994	1953
Mal24_g14772	JG24_g182	0.111495205665617	0.3467177247643371	1715
Mal24_g14771	JG24_g183	0.0902146244058764	0.48754769581772506	304
Mal24_g14770	JG24_g185	0.0823406714101395	0.9913168799867398	332
Mal24_g14769	JG24_g186	0.0110703116873404	0.34956729744344944	411
Mal24_g14766	JG24_g190	0.0820329043113315	0.295671776130929	3406
Mal24_g14765	JG24_g191	0.1735671811087395	0.41609156039033	2530
Mal24_g14764	JG24_g192	0.1522548472106001	0.26171467338361665	376
Mal24_g14762	JG24_g195	0.0967818789498465	0.3854870177390681	1253
Mal24_g14761	JG24_g196	0.0383253924769622	0.4105765270339138	706
Mal24_g14760	JG24_g197	0.0696555937548327	0.39097269272496454	674
Mal24_g14759	JG24_g198	0.0177660212217462	0.15035165933575656	1995
Mal24_g14758	JG24_g199	0.0188392950714989	0.27903683339124036	973
Mal24_g14757	JG24_g200	0.3167481567982756	0.7318189616720747	1349
Mal24_g14756	JG24_g201	0.1468084328445715	0.3879423855722107	886
Mal24_g14755	JG24_g202	0.1392722330441272	0.6056335571006574	1034
Mal24_g14754	JG24_g203	0.0041782837870915	0.21974034351110555	351
Mal24_g14753	JG24_g204	0.0495463130085694	0.04055041595270678	434
