CSCH	JG05	k0	k4	sites
g14750	JG24_g257	0.0294341570700792	0.20822380244870964	1636
g14749	JG24_g258	0.0644172539103222	0.3881868046716528	234
g14748	JG24_g259	0.0713652731442176	0.3194997829124043	645
g14747	JG24_g260	0.0947381224831467	0.5236010415532382	1226
g14746	JG24_g261	0.0697576464141623	0.366514867945114	1921
g14745	JG24_g262	0.0051791315002209	0.16540707721061426	1224
g14744	JG24_g263	0.1625316743275729	0.5051409120773978	884
g14743	JG24_g264	0.0065312459188382	0.1814927635543372	2095
g14742	JG24_g265	0.3589599022893448	0.829433693362291	2516
g14741	JG24_g266	0.0374075748534611	0.25005884285108004	1762
g14740	JG24_g267	0.0184482783104706	0.2598424162350408	1325
g14739	JG24_g269	0.0314535047599239	0.38800125296363064	1376
g14738	JG24_g270	0.0076142785980134	0.43000948556049345	1004
g14737	JG24_g272	0.0294797774449822	0.2635484151284164	1411
g14736	JG24_g273	0.0265514452881869	0.40635116374522184	538
g14735	JG24_g274	0.1671541080494776	0.6177734587847477	1437
g14732	JG24_g276	0.0945161340790666	0.3285765280658901	1160
g14731	JG24_g277	0.0574123609855108	0.36739460477661967	2388
g14729	JG24_g278	0.0196286995825838	0.12217760320263979	1031
g14730	JG24_g279	0.093771046935734	0.5791617780267287	1546
g14728	JG24_g280	0.0143459245359278	0.38063577184675096	836
g14727	JG24_g281	0.0371525335674124	0.3707834134177235	1502
g14725	JG24_g283	0.1706393200102378	0.7331225325420343	2056
g14724	JG24_g284	0.1088200824137025	0.5491874299302659	4199
g14723	JG24_g285	0.1183590167959768	0.5931892624477051	3502
g14722	JG24_g286	0.0321901467597668	0.4281143487340619	917
g14721	JG24_g287	0.1450852844702681	0.5584292942755368	9795
g14720	JG24_g288	0.095697492828531	0.42077191179942736	1165
g14719	JG24_g289	0.060516683437607	0.4892438895297678	383
g14718	JG24_g290	0.0766051939394474	0.5941560645404276	2020
g14717	JG24_g291	0.0179112990025405	0.37764474096328426	509
g14716	JG24_g292	0.0119168346205006	0.18549479032721294	1542
g14715	JG24_g293	0.007177088262113	0.3196703246674451	421
g14714	JG24_g294	0.0461684197495749	0.740539990168414	200
g14713	JG24_g295	0.0577207808520962	0.42126303074961113	1146
g14712	JG24_g296	0.0821874100069578	0.43681314336529575	3207
g14711	JG24_g297	0.0141565001442197	0.23805100261845497	2829
g14710	JG24_g298	0.185885263820135	0.7672213977818265	4383
g14709	JG24_g299	0.0607927570603562	0.5354534626717643	419
g14708	JG24_g300	0.0747068814321482	0.4413601096544375	6045
g14707	JG24_g301	0.1418345657789673	0.6409919301907476	7225
g14706	JG24_g302	0.0740428162575334	0.3985439260106008	1311
g14705	JG24_g303	0.0488135805496905	0.3320523771790469	811
g14704	JG24_g304	0.1106092730484784	0.6136218860836394	2076
g14703	JG24_g305	0.0112121682353296	0.43416587231999165	967
g14701	JG24_g307	0.0045180859525356	0.4058482299459898	338
g14700	JG24_g308	0.0406039739917912	0.3355231326692013	9467
g14699	JG24_g310	0.0482740319661774	0.6796802970154902	590
g14698	JG24_g311	0.075891896006379	0.4714564945667805	1189
g14697	JG24_g312	0.0108641320233748	0.33709907802795147	998
g14696	JG24_g313	0.0572918943115303	0.35656777253630595	1547
g14694	JG24_g315	0.1798695384556093	0.5437164658171282	867
g14693	JG24_g316	0.0388750982598451	0.3520896125875861	1927
g14692	JG24_g317	0.0553424219072621	0.5371821715159459	1214
g14690	JG24_g319	0.0429657785099045	0.42417976643135225	2145
