	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10
Cre03.g174900	0.815045010632941	0.24932430842932002	0.7042632310060939	0.30318408225225985	1.2302234280906894	1.003832008726737	1.137664630441843	0.9787946476962609	1.1549400692954854	1.0980991937918105	0.9429106625129123	1.1984869416869364	1.2110281717115592	0.8642542524653103
Cre03.g175200	1.9265401117092702	1.4100848348733206	1.493267298561287	2.0744165613668257	1.2076821576941423	1.203659797601604	1.2964979119808624	1.3668855353286846	1.1423350248958477	1.3653081559472473	1.021247768515691	1.3312155780391697	1.4967910005736804	1.3143542855601689
Cre03.g175250	1.2405903906228457	0.8037749836890169	1.3035931705170836	1.5531338501618117	0.7867526791497145	0.5846803501741369	0.8509802835138671	0.7747324407300205	0.7662500145163524	1.0951793207096758	0.8191142396295682	0.8576373757008313	0.8940849461898798	0.80198908076088
Cre03.g175400	2.4194030905109245	1.7681004745700601	1.9714432169361529	2.5146247792173173	2.279989120838435	2.4003277220279244	1.8176464330158706	1.6028962711540111	1.8450057088451695	1.9508764821307572	1.8374778501202929	1.6575717633615592	1.9738385219825887	1.6012496968434655
Cre03.g175500	1.9826597948604217	1.1794604241312343	1.7493238519715262	1.8810844229404542	1.534431273296816	1.2906261491253004	1.45803643041056	1.4480775825642371	1.3138631569244354	1.403252361268881	1.5974588176716773	1.4549540103381855	1.4443409609435987	1.6106789392379879
Cre03.g175750	1.517498222095235	1.0542144188018638	1.130241320422463	1.256547981702752	0.730877533730732	0.7010225572328397	0.9418007792660248	0.800021528983744	0.8479386460144598	0.856168043860926	0.8104764379861811	0.6290430674704843	0.8898211352105608	0.6020568420300325
Cre03.g176250	2.3738333618265557	1.6466905236252856	2.0713349135830548	2.302347949622246	2.150696989609471	1.9112620031123384	2.3006556019865085	2.0486710431776367	2.2352202285846867	2.1419983110974683	1.9875249862496727	1.8717310383012848	2.064940001546893	1.980192187810556
Cre03.g176833	0.7047021125050091	-0.807886427444592	1.111718627495634	1.7592900273557013	2.436260937230271	0.5005293278005418	0.9925773280097511	1.177242820953755	1.1638541362248962	0.3588354338669563	1.0435681866589444	0.8723351379941554	1.383435759524713	1.0107156347938788
Cre03.g177350	2.396501644031923	1.6680457239451758	1.7188720355103504	2.4218837885031004	1.9176260838568622	1.9567850140053251	2.1277038354534055	1.6648863308931117	1.6137401293921583	1.724169083405865	1.5825828037040566	1.479017094773026	1.7230763346521403	1.4126410860758676
Cre03.g177500	2.433227133581457	1.0250179114854798	2.1804235360299047	1.8957089737798105	1.911035247446007	2.2804706431334476	1.868432437953799	1.6303977138791168	1.7969689295662787	2.041242423562504	1.816668346303965	1.9208114261844524	2.051230675118196	2.0450050505306643
