	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14	CREN_15	CREN_16	CREN_17	CREN_18	CREN_19	CREN_20	CREN_21	CREN_22	CREN_23	CREN_24
Cre03.g201300	1.7677308339810467	0.9074140399667956	1.3319955900543925	1.6703377209402923	1.9418518755713088	1.4975257882202284	1.4542813543909838	1.6194235808018926	1.6424059534722149	1.613261898322339	1.8182046928662936	1.6297267273336655	1.5364888107463748	1.537173463614526	1.3398224514315913	1.3882499554698673	1.3889275239092582	1.6167295943771764	2.089248941665484	1.8128690052966796	1.8289644467158372	1.5154990995755646	1.974321415603592	1.704911791529223	1.579072014879472	1.7797722921713346	1.6685619285079674	1.6073795493238636
Cre03.g201200	1.0328338886947244	0.6154353937311718	0.8025613136591014	0.9495992963539516	1.1522269764341324	1.0858968287257995	1.0841087968156444	0.9310509978851054	1.0140229928089155	0.7413790200511707	0.839497781060122	1.1234418347702688	1.0009010652659365	1.4358198792293837	1.0817980940498666	1.3188021332699544	1.4173830022119571	1.205405170406421	0.9669281056193216	0.8877168940621065	1.071780208300985	1.3514096245653926	1.0719424236365056	0.9654477749288124	1.1342044347991669	1.1716733044161158	1.0145944217749192	1.151306197500545
Cre03.g201100	1.578109512408313	1.0703195404622396	1.0667563382817504	1.488719289893186	0.6414688075443884	0.9619663115326365	0.7302486689869392	1.0325066616506198	0.7427533841425066	0.2832949287821948	0.7799178357084713	0.6484091871862087	0.5889020065851196	0.8395531217964272	0.401641257955163	0.6724089783832207	1.082977496354464	0.8021338773113985	0.9655807436826526	0.9569206646961568	0.8838359367960837	1.0658405615672455	0.9493419176019654	1.1949210014513043	0.6239989283121665	1.0593659515563778	0.9833842270203704	1.0087370575221244
Cre03.g200700	1.780122660267843	1.5922428602845962	1.2839917770974454	1.9102454507397917	2.3197875607529306	2.0419525718450955	2.0618674904224017	2.0489895280529726	2.048627374877787	2.174585524156036	1.453569005959534	2.2871706104263176	2.1636392780647458	2.4449380721354803	1.970818306907709	2.370650839192705	2.662961675233154	2.394304572821345	1.635382528862244	1.7448473224947263	2.022740851423793	2.4693575287851277	2.133262457670237	1.782192033516585	2.328979075051273	2.282367527405057	1.9610409242809077	2.0280831891809887
Cre03.g200400	2.091405027260862	0.9881921249263508	1.610274890528164	1.6044281660729558	0.8105545974686899	0.727039390262382	0.6799586916544221	0.8092401641181185	0.8245796722306103	0.9073668335999012	0.9813960030411192	0.8715156285996445	0.7899148087942895	0.7329014821176305	0.7151863199450196	0.5135148045253448	0.6449313533881215	1.0871154489507489	1.499443511917791	1.020412078816007	0.8951457263445461	0.5894156916002378	1.0841242670880558	0.8058736184597802	0.7931840841589444	0.8872591985247951	1.131714697209158	0.9342218989766116
Cre03.g200350	1.5162011020588193	0.7347521530844645	1.5628975830201854	1.708008732596987	0.1600180219586775	0.3331834612282663	0.1394818928186777	0.3655600113069993	0.4558667085455149	-0.1228391459600426	0.6969679377460822	0.506746029997559	0.3179035804335441	0.7442165467054723	0.1927434968858859	-0.1404956467399844	0.8175500986555755	0.0817029833674264	0.6870718264129386	1.641803181174854	0.5009918943260451	-0.0930079339101249	0.7031589396830487	1.167759319941834	0.4679093335711364	0.5969321683025854	0.8545272013394607	0.2862008017475804
Cre03.g200250	1.9343514236922976	1.4467611677770191	1.6624608757750652	2.130119389190752	1.0424418292030002	0.9732935201184564	0.9998534280862632	1.4224091660894047	1.0342855964845088	0.2203228220439987	1.6338663643748268	0.4861935029224618	0.9263946933432218	1.6003117767540256	1.0569578479762418	0.6897777772495549	1.3653527780492625	1.5754841828037522	1.2015626513501008	1.1321169995745732	0.9813225113496225	1.166516697514267	1.1574332719739788	1.8543649573998704	1.230466332834298	1.2962859130398283	1.900537324813132	1.037455808635688
Cre03.g206929	1.8630090326407347	1.1010469926105446	1.513252010707673	1.9317821896304423	1.0853368051751413	1.4600786371857275	1.3238600850694986	1.491645206181158	1.5454356447947208	1.139430702160949	1.4150649420381594	1.2404617807328415	1.3870906486181818	1.5222301845540505	1.3500620733286466	1.4260174932350485	1.4876120278104032	1.5465190357134753	1.4936712027613397	1.697351382487291	1.6903315183613734	1.4903293054138655	1.5348879069555528	1.7816516054958904	1.5853286741261952	1.5337878372736455	1.6531398519666891	1.355678779909385
Cre09.g386137	1.81917813264416	1.0542923201206549	1.1606007619378722	1.320469512982631	0.5178420430201791	0.8150806847160682	0.7464276052302959	1.2075577276486025	1.2435843234266213	0.682810425037863	1.0950866870260525	0.7564306784240147	0.578610105013796	0.866404177294323	0.4765674363973345	0.5192763835332797	0.8762615731016277	1.383985360433035	0.9002926310257409	0.5565687818009173	0.9823017657786514	0.8089257067182154	0.8707998402632289	0.9378940338487136	1.2483233151091595	0.755995537637043	0.9680315274576884	0.6531134762293375
Cre09.g386650	3.65937995600385	2.833357515690096	3.101660539180282	3.3748687200570617	3.0354094737956983	3.0606738218995866	2.89118535009172	3.137029236732953	3.01315792010272	3.0944053631259	2.887094031898632	3.3263049173032977	2.8710596151528067	2.8342578487135994	2.858869089465339	2.787670438962739	2.6980199361504	3.0757394202991883	3.193481294123823	3.3229983163447896	3.2650575768472523	2.7537381269102985	2.9333719844962323	2.5728960943384926	2.75853691573449	3.2108586530805217	2.93676489670852	2.83052513513002
