	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14
Cre16.g659900	1.7994391081353176	1.523630076190199	1.600450981516211	1.9867825020744858	0.38851701504904357	0.6643877904588865	0.4581728111903024	0.8684981996628829	0.9344666208380797	-0.4074061533113872	1.1677875765842705	0.4825528322592211	0.8790875234746612	1.0914575569811513	0.8644326708252541	0.6043919161517595	1.3606689253813178	1.090443261425431
Cre16.g659950	2.464387157202689	2.043598468469658	2.067050676782872	2.5910076221039757	1.7361347348341793	1.7169288849966067	1.5309943251686984	1.7798134758623558	1.8824620652925463	1.5949185727269972	1.8872455523771938	1.939404703922743	2.0838589015806406	2.2084187462688294	1.687762464935719	2.0610118309137424	2.408954768812454	2.1265394674109577
Cre16.g660000	1.5771061810816907	1.3053016589097806	1.4376280697434092	1.6453658374763822	0.9651721585956329	1.0041005756738257	0.7812306922075332	1.1426292213909983	1.0785529331853279	0.6562806238689288	1.0074085714162362	0.8476552674669176	1.0597587008940648	1.249315825430519	0.9874062455659889	1.1169979117210351	1.212130539993738	1.2561664012022475
Cre16.g660800	1.8285720102143859	1.1440251747678332	1.2052952475040792	1.8025810928667927	0.9988657266640557	1.0607468821732926	0.8467615894916733	1.1086333385359446	1.191571717461562	0.9650985521944884	1.2270593673285706	1.4323980813315011	0.941672466413653	1.2072567665944345	1.18743829256801	1.1809306842757585	1.1226503192281536	1.1673728549729345
Cre16.g661100	1.565169907267285	1.204010175861249	1.2284482852724623	1.3923723919581639	1.9041718753111174	1.8585794605986816	1.9211924124950241	1.7642442195802128	1.831908675830823	1.8445819157728807	1.4316111828080536	1.9201124954779087	1.7245486181591707	2.1912813699545346	1.588561368545588	2.064466635843438	2.3660843240473595	1.953325680836587
Cre16.g661150	1.821117173920586	1.1937541493474382	1.4677319875852695	2.0746166940426174	1.6473675640884153	1.7394485947534266	1.7328746567576965	1.648424424288625	1.934798556099023	1.9700660229529454	1.7723933999487513	1.881415391622623	1.7457311472565658	2.0756449454352044	1.4957002579750862	1.8294909400591906	2.2542988464077225	1.970271688316302
Cre16.g662000	1.6110939903163823	1.0666609412105428	0.8032860989384027	1.0415942817994095	1.6082170894617622	1.4696794199787866	1.346273126650413	1.5374173563213096	1.7853972728974388	1.6390361690037378	1.5475777571461617	1.8394683960821465	1.3699965916084824	1.6805839481593032	1.2237023864142933	1.5339372954365467	1.4151137508909384	1.6865681535105232
Cre16.g662200	1.9170008125984765	1.2227044909787472	1.531364976641121	1.751461118082873	0.4645352329461443	0.8154139230875548	0.6690548428169679	0.9482504444596156	1.1452488521048891	0.7759919522514911	1.0388582971164084	1.1790445255055204	0.7939923932669264	0.8417213055918248	0.8022613773295293	0.7197596885649499	0.9087577407880334	0.9640069639196378
Cre16.g662300	2.055137889313273	1.386933789033989	1.9008958475096027	1.6599071295737369	1.1787514423149408	1.2881527573491491	1.3457303384937598	1.3905484632095142	1.1118377888314077	1.1363331483543035	1.0618633320153246	1.295058401950654	0.9066914127922815	1.6511475222799425	1.0473621579639691	0.8830411364052613	1.090739204553529	1.4739990558667677
Cre16.g662550	1.5714691445404683	0.8408984046937893	1.3473334836705728	1.9789636309597092	0.6186000733074868	1.040029608141205	0.9499101919802232	1.1427669942465126	1.518084298952193	0.9816672644375023	1.2303039071227475	0.8423154788815169	1.0264205666994615	0.783716642864691	0.6677426774240628	1.0238365865317585	1.5029685685421867	0.9330496572053326
Cre16.g662650	1.8737358846138628	0.7373940933904154	0.5649374909242487	1.9019296768001166	0.07149749330936513	-0.049012371878416935	-0.3049156934448677	0.03830387228526916	0.405784262563019	-0.7325376930370111	0.7624750303765496	-0.20707870182844293	0.30495860108368583	0.32139486589687977	-0.5522425923458567	0.24226654498588587	0.2036428215390149	-0.06512016810916511
Cre16.g662800	1.3326969678574596	0.8922333112792992	1.1792752472443675	1.427719050812362	0.599156026305294	1.0487756278755525	0.8270072499220799	1.0259756243900287	1.032371963581878	0.9039798354303004	0.8553416566545757	1.0012462367036123	0.9319683873919795	0.9675403990821702	0.6880245710611033	0.9787313814731261	0.917719327516228	0.9871407314891586
