"Vm_gen"	"Vm_gen_noint"	"Vm_mut"	"Vm_mut_noint"	"Vm_gen_nomutator"	"Vm_gen_noint_nomutator"	"Vm_mut_nomutator"	"Vm_mut_noint_nomutator"
"Cre01.g003200"	0.000481361342740375	0.000481366591492743	0.043658301750837	0.0436570545708154	0.000480456812413609	0.000480466843092102	0	0.0187371480389301
"Cre01.g003250"	0.000343071010457881	0.000343060386324693	0.024127598046243	0.0241272278028622	0.000369214931770007	0.000369215213645379	0.0104116412782556	0.0104116112407917
"Cre01.g003300"	0	0	0	0	0	0	0	0
"Cre01.g003376"	0.000614702767888148	0.000614725714712431	0.0443259506903878	0.0443249028359789	0.00059198233628135	0.000591966425894633	0	0.0195099693560001
"Cre01.g003450"	0.000527467203116198	0.000527476485585903	0.0442266760243454	0.044225311822012	0.000531815245932769	0.000531812058314512	1.77819976844745e-10	0.0173131902422357
"Cre01.g003463"	0.000941393715322524	0.000941376267246114	0.0435604545191989	0.0435603410129761	0.000823464987821389	0.000823448011051307	0	0.0203992363031414
"Cre01.g003475"	0.000462912792295405	0.000462910496322702	0.00958562118805259	0.0100778724708365	0.00047084929466619	0.000470842712309753	1.36608129526828e-10	0.00641868099112914
"Cre01.g003487"	0.000497714123879017	0.000497718088662375	0.0341320647012677	0.0341312514623033	0.000480270341874397	0.000480272463892292	0	0.0129696115850187
"Cre01.g003500"	0.000599586778022626	0.000599578507655513	0.0561306095524957	0.0561310892939785	0.000562953521526305	0.000562960195604138	0	0.023714469640882
"Cre01.g003516"	0.000485655197541938	0.000485665646712258	0.054533700349501	0.0545336205877228	0.00048986840955092	0.000489861755488217	0.00172449350405385	0.0221828656254493
"Cre01.g003524"	0.000629746146235485	0.000629739226553639	0.0699930894843177	0.0699956092828416	0.000634522170093394	0.000634508263257219	3.70862457182317e-10	0.0293751473751733
"Cre01.g003550"	0.000640699134587015	0.000640696872261494	0.0599051288771804	0.0599060744252199	0.000610268521067801	0.00061024543443049	1.57355428247807e-08	0.0237693515187907
"Cre01.g003650"	0.000356424727713295	0.000356428005008592	0.0653277687151038	0.0653278591294233	0.000363206828020907	0.000363194511612132	0	0.0243088314638268
"Cre01.g003700"	0.000460644679164234	0.000460629895807813	0.0379112492457743	0.0379115126226711	0.000408505728083174	0.000408503073484377	0	0.0169311653630109
"Cre01.g003751"	0.000658598111864877	0.000658573043524952	0.0371244887247122	0.03712420094495	0.000642242817471913	0.000642227903542929	0	0.0161204781996149
"Cre01.g003800"	0.000458908029607181	0.000458898147479173	0.0490434845296165	0.0490438935107092	0.000424672288318943	0.00042467654609789	0	0.0210274165349342
"Cre01.g003850"	0.000922350270516733	0.000922336914626104	0.0620335480742651	0.0620334980878777	0.000997879268357807	0.000997855433573769	3.45330131119402e-10	0.0261209265353366
"Cre01.g003950"	0.000921282034374538	0.000921285050772708	0.0665640633189526	0.0665643812446852	0.000882375055986701	0.000882378360282341	0	0.0314681872476674
"Cre01.g004000"	0.000197962591234745	0.000197971554658344	0.0395951751397533	0.0395950423153385	0.000181820626217846	0.000181825350657835	2.30951783756346e-10	0.0126971689125915
"Cre01.g004124"	0.000629011848878585	0.000629022111176099	0.0786765993024893	0.0786771526674143	0.000614520932024906	0.000614548479114021	0.00234546843658892	0.0333893618281506
"Cre01.g004157"	0.000367663652338349	0.000367670933334133	0.101488555828968	0.101486986922667	0.000415628062357595	0.000415634187535627	8.89524982426127e-10	0.0396155004666217
"Cre01.g004200"	0.000558957808362813	0.000558957146864178	0.0589893634218695	0.0589885521446699	0.000545451846606502	0.000545444641887347	0	0.0220390554493224
"Cre01.g004250"	0.00049627302894892	0.000496282752978978	0.0600584423457456	0.0600584837434677	0.000491192074958069	0.000491197887526805	0	0.0210547732940781
"Cre01.g004300"	0.000304862537997141	0.000304865822607769	0.110279989568044	0.110282517910046	0.000306718493764567	0.000306729686044369	0	0.037108116268424
"Cre01.g004350"	0.000309959367005619	0.000309952453382203	0.0825141614277852	0.0825154311185201	0.000287150753041132	0.000287150590798647	4.72432341956003e-10	0.0296082973930097
"Cre01.g004400"	0.000554539121071115	0.000554545240339094	0.0367756500997637	0.0367760477559663	0.000597344828530566	0.000597340740920965	0.00845676578157919	0.0143850712372219
"Cre01.g004450"	0.000367763615708334	0.000367755398189016	0.055142026635905	0.0551419824413795	0.00037750644071711	0.000377500544159665	0	0.0184308098955581
"Cre01.g004500"	0.000329970536518886	0.000329959260411356	0.107261742610212	0.107261633119761	0.000334144035966596	0.000334134602993121	0	0.0361745039840566
"Cre01.g004550"	0.000902675278998711	0.00090267643152852	0.0668883874452652	0.0668887387204996	0.000932616964654881	0.000932596631273936	2.65543086882897e-09	0.0276287371771387
