Line1	Line2	SNPs	euclidean_distance	substructure	Similarity
CC3079	GB141	0.1581	213.2990204411624	NA1 x NA2	0.8419
CC3079	GB66	0.1605	238.03386992465119	NA1 x NA2	0.8395
CC3079	JG4-1	0.1342	198.1802497643816	NA2	0.8658
CC3079	W13-1	0.1778	227.23608434089246	NA2	0.8222
CC3079	W13-2	0.1732	217.26389776628983	NA2	0.8268
CL3-1	GB117	0.1637	227.77959288685707	NA1 x NA2	0.8363
CL3-1	GB119	0.1695	217.63744392906358	NA1 x NA2	0.8305
CL3-1	GB123	0.1695	228.00007967690442	NA1 x NA2	0.8305
CL3-1	GB13	0.1621	255.51494160098966	NA1 x NA2	0.8379
CL3-1	GB141	0.1683	226.07174335638635	NA1 x NA2	0.8317
CL3-1	GB66	0.1664	245.29085915528904	NA1 x NA2	0.8336
CL3-1	JG4-1	0.1062	178.32267673119978	NA2	0.8938
CL3-1	W13-1	0.1716	240.36964874721076	NA2	0.8284
CL3-1	W13-2	0.1698	212.67727354638103	NA2	0.8302
GB117	GB119	0.1324	178.11146168806897	NA1	0.8676
GB117	GB123	0.0976	169.42320486055465	NA1	0.9024
GB117	GB13	0.0999	227.68200671616518	NA1	0.9001
GB117	GB141	0.1242	191.2034051206273	NA1	0.8758
GB117	GB66	0.1127	198.99079829222475	NA1	0.8873
GB117	JG4-1	0.1564	221.61547775449358	NA1 x NA2	0.8436
GB117	W13-1	0.1544	234.11169325156962	NA1 x NA2	0.8456
GB117	W13-2	0.1472	207.17635444878192	NA1 x NA2	0.8528
GB119	GB123	0.1353	172.6407988946232	NA1	0.8647
GB119	GB13	0.127	201.9196790189205	NA1	0.873
GB119	GB141	0.0702	124.5974907099797	NA1	0.9298
GB119	GB66	0.0954	171.15076171422942	NA1	0.9046
GB119	JG4-1	0.1594	209.21717482379592	NA1 x NA2	0.8406
GB119	W13-1	0.1574	220.58388041207104	NA1 x NA2	0.8426
GB119	W13-2	0.1489	191.41947353504295	NA1 x NA2	0.8511
GB123	GB13	0.1003	205.49546787245947	NA1	0.8996999999999999
GB123	GB141	0.1312	175.5621721424717	NA1	0.8688
GB123	GB66	0.115	178.99589956893965	NA1	0.885
GB123	JG4-1	0.162	226.06224640588243	NA1 x NA2	0.838
GB123	W13-1	0.1517	235.22795795642463	NA1 x NA2	0.8483
GB123	W13-2	0.1406	207.77884702422963	NA1 x NA2	0.8593999999999999
GB13	GB141	0.1289	183.26617277623683	NA1	0.8711
GB13	GB66	0.1178	196.8820341858556	NA1	0.8822
GB13	JG4-1	0.1525	262.76918379064364	NA1 x NA2	0.8475
GB13	W13-1	0.148	268.0969358580338	NA1 x NA2	0.852
GB13	W13-2	0.1431	233.96344670558366	NA1 x NA2	0.8569
GB141	GB66	0.1077	174.2100127124195	NA1	0.8923
GB141	JG4-1	0.1608	221.45726639706766	NA1 x NA2	0.8392
GB141	W13-1	0.1611	232.08234482961032	NA1 x NA2	0.8389
GB141	W13-2	0.1519	199.01271153240185	NA1 x NA2	0.8481
GB66	JG4-1	0.1563	247.03524583210074	NA1 x NA2	0.8437
GB66	W13-1	0.1584	250.17608053620316	NA1 x NA2	0.8416
GB66	W13-2	0.147	226.29051551267904	NA1 x NA2	0.853
JG4-1	W13-1	0.1649	218.61171735583343	NA2	0.8351
JG4-1	W13-2	0.1638	214.87204879518	NA2	0.8362
W13-1	W13-2	0.1185	207.55092197532196	NA2	0.8815
CC1952	BMS-1	0.1715	242.17625251077584	NA2	0.8285
CC2342	BMS-1	0.1662	215.9941063216826	NA2	0.8338
